Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\22666.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco593_4
Sample Number	75
Sample Position	RC3
Sample ID	22666
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:48:23 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	9e7c585c-4bf2-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-6.10154
Signal Max.	361.246830
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
2.560167	0.10	1.647020	
2.561833	0.10	1.646510	
2.563500	0.10	1.646900	
2.565167	0.10	1.648920	
2.566833	0.10	1.653230	
2.568500	0.10	1.659430	
2.570167	0.10	1.665670	
2.571833	0.10	1.670420	
2.573500	0.10	1.674240	
2.575167	0.10	1.678880	
2.576833	0.10	1.685400	
2.578500	0.10	1.693390	
2.580167	0.10	1.701080	
2.581833	0.10	1.706290	
2.583500	0.10	1.708080	
2.585167	0.10	1.707600	
2.586833	0.10	1.707200	
2.588500	0.10	1.708490	
2.590167	0.10	1.711860	
2.591833	0.10	1.717400	
2.593500	0.10	1.724690	
2.595167	0.10	1.732070	
2.596833	0.10	1.737340	
2.598500	0.10	1.739310	
2.600167	0.10	1.738780	
2.601833	0.10	1.738110	
2.603500	0.10	1.739780	
2.605167	0.10	1.745040	
2.606833	0.10	1.753410	
2.608500	0.10	1.763110	
2.610167	0.10	1.772220	
2.611833	0.10	1.779650	
2.613500	0.10	1.785960	
2.615167	0.10	1.793180	
2.616833	0.10	1.802890	
2.618500	0.10	1.814230	
2.620167	0.10	1.824510	
2.621833	0.10	1.831230	
2.623500	0.10	1.833510	
2.625167	0.10	1.831930	
2.626833	0.10	1.827740	
2.628500	0.10	1.822520	
2.630167	0.10	1.818350	
2.631833	0.10	1.817240	
2.633500	0.10	1.819880	
2.635167	0.10	1.825040	
2.636833	0.10	1.830500	
2.638500	0.10	1.835090	
2.640167	0.10	1.839540	
2.641833	0.10	1.845170	
2.643500	0.10	1.852190	
2.645167	0.10	1.859850	
2.646833	0.10	1.867740	
2.648500	0.10	1.876270	
2.650167	0.10	1.886250	
2.651833	0.10	1.898550	
2.653500	0.10	1.913880	
2.655167	0.10	1.931460	
2.656833	0.10	1.947750	
2.658500	0.10	1.958750	
2.660167	0.10	1.963780	
2.661833	0.10	1.965450	
2.663500	0.10	1.966670	
2.665167	0.10	1.968880	
2.666833	0.10	1.972080	
2.668500	0.10	1.974970	
2.670167	0.10	1.975830	
2.671833	0.10	1.973940	
2.673500	0.10	1.969800	
2.675167	0.10	1.964320	
2.676833	0.10	1.958870	
2.678500	0.10	1.955950	
2.680167	0.10	1.958090	
2.681833	0.10	1.965570	
2.683500	0.10	1.975790	
2.685167	0.10	1.985200	
2.686833	0.10	1.991610	
2.688500	0.10	1.995060	
2.690167	0.10	1.997380	
2.691833	0.10	2.000720	
2.693500	0.10	2.005760	
2.695167	0.10	2.011950	
2.696833	0.10	2.019250	
2.698500	0.10	2.028840	
2.700167	0.10	2.041430	
2.701833	0.10	2.055550	
2.703500	0.10	2.068530	
2.705167	0.10	2.079000	
2.706833	0.10	2.087520	
2.708500	0.10	2.094730	
2.710167	0.10	2.100370	
2.711833	0.10	2.104740	
2.713500	0.10	2.109520	
2.715167	0.10	2.116330	
2.716833	0.10	2.125670	
2.718500	0.10	2.137010	
2.720167	0.10	2.149360	
2.721833	0.10	2.161970	
2.723500	0.10	2.175310	
2.725167	0.10	2.190330	
2.726833	0.10	2.206600	
2.728500	0.10	2.222020	
2.730167	0.10	2.234270	
2.731833	0.10	2.242490	
2.733500	0.10	2.247830	
2.735167	0.10	2.252490	
2.736833	0.10	2.258150	
2.738500	0.10	2.265090	
2.740167	0.10	2.272530	
2.741833	0.10	2.279400	
2.743500	0.10	2.284890	
2.745167	0.10	2.288790	
2.746833	0.10	2.291580	
2.748500	0.10	2.294450	
2.750167	0.10	2.298580	
2.751833	0.10	2.303960	
2.753500	0.10	2.309400	
2.755167	0.10	2.313750	
2.756833	0.10	2.316470	
2.758500	0.10	2.317650	
2.760167	0.10	2.318350	
2.761833	0.10	2.320190	
2.763500	0.10	2.324130	
2.765167	0.10	2.329930	
2.766833	0.10	2.336390	
2.768500	0.10	2.342230	
2.770167	0.10	2.347560	
2.771833	0.10	2.354410	
2.773500	0.10	2.364810	
2.775167	0.10	2.378600	
2.776833	0.10	2.393770	
2.778500	0.10	2.408060	
2.780167	0.10	2.419720	
2.781833	0.10	2.428250	
2.783500	0.10	2.434940	
2.785167	0.10	2.441720	
2.786833	0.10	2.449080	
2.788500	0.10	2.455970	
2.790167	0.10	2.461490	
2.791833	0.10	2.465500	
2.793500	0.10	2.468110	
2.795167	0.10	2.469920	
2.796833	0.10	2.472220	
2.798500	0.10	2.475980	
2.800167	0.10	2.480880	
2.801833	0.10	2.485820	
2.803500	0.10	2.490120	
2.805167	0.10	2.494640	
2.806833	0.10	2.500660	
2.808500	0.10	2.508360	
2.810167	0.10	2.517460	
2.811833	0.10	2.528370	
2.813500	0.10	2.541370	
2.815167	0.10	2.554870	
2.816833	0.10	2.565600	
2.818500	0.10	2.571380	
2.820167	0.10	2.572650	
2.821833	0.10	2.570930	
2.823500	0.10	2.567500	
2.825167	0.10	2.563470	
2.826833	0.10	2.559960	
2.828500	0.10	2.558030	
2.830167	0.10	2.558500	
2.831833	0.10	2.561590	
2.833500	0.10	2.566600	
2.835167	0.10	2.572210	
2.836833	0.10	2.577130	
2.838500	0.10	2.580520	
2.840167	0.10	2.582300	
2.841833	0.10	2.583430	
2.843500	0.10	2.585080	
2.845167	0.10	2.587420	
2.846833	0.10	2.590060	
2.848500	0.10	2.593450	
2.850167	0.10	2.599230	
2.851833	0.10	2.609300	
2.853500	0.10	2.624390	
2.855167	0.10	2.642710	
2.856833	0.10	2.660250	
2.858500	0.10	2.673200	
2.860167	0.10	2.680540	
2.861833	0.10	2.684200	
2.863500	0.10	2.687070	
2.865167	0.10	2.690780	
2.866833	0.10	2.695120	
2.868500	0.10	2.699220	
2.870167	0.10	2.703130	
2.871833	0.10	2.707930	
2.873500	0.10	2.714670	
2.875167	0.10	2.723700	
2.876833	0.10	2.734340	
2.878500	0.10	2.744880	
2.880167	0.10	2.753450	
2.881833	0.10	2.759470	
2.883500	0.10	2.763490	
2.885167	0.10	2.766760	
2.886833	0.10	2.771650	
2.888500	0.10	2.780960	
2.890167	0.10	2.795240	
2.891833	0.10	2.811610	
2.893500	0.10	2.826370	
2.895167	0.10	2.837980	
2.896833	0.10	2.847390	
2.898500	0.10	2.855920	
2.900167	0.10	2.863660	
2.901833	0.10	2.869790	
2.903500	0.10	2.873610	
2.905167	0.10	2.875190	
2.906833	0.10	2.875340	
2.908500	0.10	2.874790	
2.910167	0.10	2.873920	
2.911833	0.10	2.873450	
2.913500	0.10	2.874270	
2.915167	0.10	2.876560	
2.916833	0.10	2.879940	
2.918500	0.10	2.884370	
2.920167	0.10	2.889950	
2.921833	0.10	2.896600	
2.923500	0.10	2.903400	
2.925167	0.10	2.908800	
2.926833	0.10	2.911510	
2.928500	0.10	2.911060	
2.930167	0.10	2.907180	
2.931833	0.10	2.899790	
2.933500	0.10	2.889610	
2.935167	0.10	2.878680	
2.936833	0.10	2.870110	
2.938500	0.10	2.866200	
2.940167	0.10	2.866650	
2.941833	0.10	2.868990	
2.943500	0.10	2.870750	
2.945167	0.10	2.871470	
2.946833	0.10	2.872730	
2.948500	0.10	2.876520	
2.950167	0.10	2.883590	
2.951833	0.10	2.892730	
2.953500	0.10	2.901570	
2.955167	0.10	2.908660	
2.956833	0.10	2.914180	
2.958500	0.10	2.918680	
2.960167	0.10	2.922250	
2.961833	0.10	2.924870	
2.963500	0.10	2.926540	
2.965167	0.10	2.927430	
2.966833	0.10	2.927980	
2.968500	0.10	2.928420	
2.970167	0.10	2.928130	
2.971833	0.10	2.926080	
2.973500	0.10	2.922080	
2.975167	0.10	2.917020	
2.976833	0.10	2.912290	
2.978500	0.10	2.908850	
2.980167	0.10	2.906240	
2.981833	0.10	2.903110	
2.983500	0.10	2.898550	
2.985167	0.10	2.892750	
2.986833	0.10	2.886960	
2.988500	0.10	2.883140	
2.990167	0.10	2.883050	
2.991833	0.10	2.887270	
2.993500	0.10	2.894850	
2.995167	0.10	2.904100	
2.996833	0.10	2.914390	
2.998500	0.10	2.928940	
3.000167	0.10	2.955770	
