Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\22666.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco593_4
Sample Number	75
Sample Position	RC3
Sample ID	22666
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:48:23 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	9e7c585c-4bf2-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-6.10154
Signal Max.	361.246830
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0.396833	0.10	-0.127610	
0.398500	0.10	-0.127670	
0.400167	0.10	-0.129260	
0.401833	0.10	-0.131590	
0.403500	0.10	-0.132810	
0.405167	0.10	-0.132390	
0.406833	0.10	-0.131160	
0.408500	0.10	-0.129680	
0.410167	0.10	-0.127850	
0.411833	0.10	-0.125540	
0.413500	0.10	-0.123300	
0.415167	0.10	-0.122560	
0.416833	0.10	-0.124440	
0.418500	0.10	-0.128250	
0.420167	0.10	-0.131750	
0.421833	0.10	-0.133050	
0.423500	0.10	-0.132290	
0.425167	0.10	-0.131360	
0.426833	0.10	-0.131830	
0.428500	0.10	-0.133500	
0.430167	0.10	-0.134550	
0.431833	0.10	-0.133420	
0.433500	0.10	-0.130810	
0.435167	0.10	-0.128890	
0.436833	0.10	-0.128400	
0.438500	0.10	-0.127630	
0.440167	0.10	-0.124440	
0.441833	0.10	-0.118060	
0.443500	0.10	-0.109690	
0.445167	0.10	-0.101790	
0.446833	0.10	-0.096230	
0.448500	0.10	-0.093320	
0.450167	0.10	-0.092610	
0.451833	0.10	-0.093400	
0.453500	0.10	-0.094710	
0.455167	0.10	-0.095540	
0.456833	0.10	-0.095470	
0.458500	0.10	-0.094770	
0.460167	0.10	-0.094190	
0.461833	0.10	-0.094650	
0.463500	0.10	-0.096580	
0.465167	0.10	-0.099600	
0.466833	0.10	-0.102810	
0.468500	0.10	-0.105360	
0.470167	0.10	-0.107100	
0.471833	0.10	-0.108710	
0.473500	0.10	-0.110800	
0.475167	0.10	-0.113360	
0.476833	0.10	-0.115750	
0.478500	0.10	-0.117160	
0.480167	0.10	-0.117370	
0.481833	0.10	-0.116630	
0.483500	0.10	-0.114900	
0.485167	0.10	-0.111680	
0.486833	0.10	-0.107090	
0.488500	0.10	-0.101900	
0.490167	0.10	-0.096710	
0.491833	0.10	-0.092240	
0.493500	0.10	-0.089480	
0.495167	0.10	-0.088930	
0.496833	0.10	-0.090240	
0.498500	0.10	-0.092270	
0.500167	0.10	-0.093660	
0.501833	0.10	-0.093800	
0.503500	0.10	-0.093350	
0.505167	0.10	-0.093690	
0.506833	0.10	-0.095600	
0.508500	0.10	-0.098380	
0.510167	0.10	-0.100600	
0.511833	0.10	-0.101270	
0.513500	0.10	-0.099850	
