Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\31333.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	rxn594_4
Sample Number	73
Sample Position	RC1
Sample ID	31333
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:38:28 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	690
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	943.144104
Base Intensity (counts):	45712
TIC (counts):	201416
Retention Time (min):	1.99 [corrected by 0.05]
Scan:	117
Bkg1 RT (min):	1.87 [corrected by 0.05]
Bkg1 Scan:	110
Bkg2 RT (min):	2.22 [corrected by 0.05]
Bkg2 Scan:	130




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
1215.556396	36	0.08
1215.928467	36	0.08
1216.237793	19	0.04
1216.941895	9	0.02
1217.836060	34	0.07
1219.994263	18	0.04
1220.300781	19	0.04
1220.839355	65	0.14
1222.093018	191	0.42
1223.415771	18	0.04
1224.745483	33	0.07
1226.158691	34	0.07
1229.038574	13	0.03
1229.406006	18	0.04
1230.927124	19	0.04
1234.139893	17	0.04
1234.891724	49	0.11
1235.248047	48	0.11
1236.022217	18	0.04
1236.452271	33	0.07
1237.249146	194	0.42
1238.079224	113	0.25
1238.771606	148	0.32
1240.582886	94	0.20
1241.415894	19	0.04
1242.175781	64	0.14
1242.750610	93	0.20
1243.774780	186	0.41
1245.361816	50	0.11
1246.309570	213	0.47
1248.397339	167	0.37
1249.755493	91	0.20
1252.723877	19	0.04
1254.061523	76	0.17
1255.715820	33	0.07
1256.210938	9	0.02
1256.906860	35	0.08
1257.464966	9	0.02
1257.875244	34	0.07
1258.253906	42	0.09
1259.234741	16	0.04
1259.907593	65	0.14
1261.082764	47	0.10
1261.477539	33	0.07
1262.874146	33	0.07
1263.917969	49	0.11
1264.916382	25	0.05
1265.382202	65	0.14
1266.366577	34	0.07
1266.791138	19	0.04
1267.129395	18	0.04
1267.915161	51	0.11
1269.094727	64	0.14
1269.980469	153	0.33
1272.253540	37	0.08
1273.267090	34	0.07
1274.253540	32	0.07
1274.797729	19	0.04
1275.631470	18	0.04
1276.110718	35	0.08
1276.396973	39	0.09
1276.967163	18	0.04
1277.612061	6	0.01
1278.402954	37	0.08
1279.146118	69	0.15
1279.602173	19	0.04
1280.587036	206	0.45
1285.275146	19	0.04
1285.782959	18	0.04
1286.910645	18	0.04
1288.503540	18	0.04
1290.554199	37	0.08
1291.107422	27	0.06
1293.375488	41	0.09
1293.864502	2	0.00
1294.254272	9	0.02
1296.082397	0	0.00
1296.844727	28	0.06
1297.706177	32	0.07
1298.320557	22	0.05
1299.306152	2	0.00
1299.816895	18	0.04
1301.064941	11	0.02
1301.747070	52	0.11
1303.225708	67	0.15
1305.337891	18	0.04
1306.003052	18	0.04
1307.735352	34	0.07
1314.089844	54	0.12
1314.972534	60	0.13
1315.645874	33	0.07
1318.600586	95	0.21
1319.758423	77	0.17
1320.271729	28	0.06
1320.921631	99	0.22
1321.525879	110	0.24
1322.186646	156	0.34
1324.449097	11	0.02
1326.441528	9	0.02
1327.474243	19	0.04
1328.108887	18	0.04
1330.535645	18	0.04
1330.910767	19	0.04
1332.697754	19	0.04
1334.594727	55	0.12
1336.571655	18	0.04
1342.245605	10	0.02
1344.457275	6	0.01
1345.129761	18	0.04
1353.815430	8	0.02
1354.958496	2	0.00
1355.435913	1	0.00
1356.079224	1	0.00
1356.432251	18	0.04
1357.050903	18	0.04
1359.367310	51	0.11
1359.677856	36	0.08
1360.201782	3	0.01
1360.625122	18	0.04
1361.187744	12	0.03
1361.591187	33	0.07
1362.260498	3	0.01
1362.683838	51	0.11
1369.061035	20	0.04
1370.332520	18	0.04
1371.176636	5	0.01
1371.438354	9	0.02
1372.554688	98	0.21
1372.972534	18	0.04
1377.135254	19	0.04
1377.457520	18	0.04
1381.846924	36	0.08
1382.937134	37	0.08
1383.575928	64	0.14
1384.301392	18	0.04
1387.264648	108	0.24
1388.541016	18	0.04
1389.752563	37	0.08
1391.361084	19	0.04
1392.488770	18	0.04
1395.262451	97	0.21
1396.364136	18	0.04
1399.593384	2	0.00
1401.441528	11	0.02
1403.431641	19	0.04
1403.910645	18	0.04
1405.294556	11	0.02
1412.152222	48	0.10
1412.968384	18	0.04
1416.033569	32	0.07
1416.921509	18	0.04
1423.031860	9	0.02
1426.124634	18	0.04
1428.859009	2	0.00
1429.655884	10	0.02
1431.411987	34	0.07
1431.885254	19	0.04
1432.301392	36	0.08
1433.909302	18	0.04
1434.571899	18	0.04
1440.213745	91	0.20
1440.838501	33	0.07
1442.168701	18	0.04
1442.987061	19	0.04
1444.071777	52	0.11
1445.556763	37	0.08
1446.880981	2	0.00
1447.608643	17	0.04
1447.976074	18	0.04
1448.380127	1	0.00
1448.742554	48	0.11
1449.066040	18	0.04
1450.795776	18	0.04
1451.238281	18	0.04
1453.707886	18	0.04
1454.618652	10	0.02
1455.702393	49	0.11
1462.421509	18	0.04
1468.030884	18	0.04
1471.366455	19	0.04
1474.527100	19	0.04
